,종목명,Sector,Industry_Group,시장,결산,분기_영업이익,컨센_영업이익,전년_영업이익,컨센대비,발표,공시일
111,현대엘리베이,산업재,자본재,유,4Q,443.1,413.3,434.2,7.19,잠정,2021-03-05
112,KT&G,필수소비재,음식료 및 담배,유,4Q,"3,366.6","3,144.3", ,7.07,확정, 
113,이녹스첨단소재,IT,하드웨어,코,4Q,118.3,110.6,112.2,7.02,잠정,2021-01-27
114,한섬,경기소비재,내구소비재 및 의류,유,4Q,361.0,338.3, ,6.69,확정, 
115,SK하이닉스,IT,반도체,유,4Q,"9,659.1","9,075.3", ,6.43,확정, 
116,레이,의료,의료 장비 및 서비스,코,4Q,45.7,43.0, ,6.30,확정, 
117,이노션,경기소비재,미디어,유,4Q,413.7,389.3,398.5,6.26,잠정,2021-02-08
118,에프에스티,IT,반도체,코,4Q,28.6,27.0,53.5,5.96,잠정,2021-02-15
119,CJ ENM,경기소비재,미디어,코,4Q,879.1,831.1,426.9,5.78,잠정,2021-02-04
120,디오,의료,의료 장비 및 서비스,코,4Q,101.5,96.0, ,5.76,확정, 
121,KG모빌리언스,IT,소프트웨어,코,4Q,117.6,111.7, ,5.33,확정, 
122,현대모비스,경기소비재,자동차 및 부품,유,4Q,"7,023.1","6,672.6", ,5.25,확정, 
123,효성,산업재,자본재,유,4Q,634.0,603.0, ,5.14,확정, 
124,카카오,IT,소프트웨어,유,4Q,"1,496.6","1,425.2", ,5.01,확정, 
125,셀트리온헬스케어,의료,제약 및 바이오,코,4Q,917.9,878.3,428.5,4.50,잠정,2021-03-04
126,대한항공,산업재,운송,유,4Q,"1,129.6","1,081.2", ,4.48,확정, 
127,SNT모티브,경기소비재,자동차 및 부품,유,4Q,292.8,281.8, ,3.91,확정, 
128,LG전자,경기소비재,내구소비재 및 의류,유,4Q,"6,501.7","6,262.9", ,3.81,확정, 
129,선데이토즈,IT,소프트웨어,코,4Q,42.5,41.0,-18.0,3.68,잠정,2021-02-10
130,켐트로닉스,소재,소재,코,4Q,64.3,62.0, ,3.68,확정, 
131,삼성전기,IT,하드웨어,유,4Q,"2,661.0","2,571.5", ,3.48,확정, 
132,송원산업,소재,소재,유,4Q,179.6,174.0, ,3.19,확정, 
133,고려아연,소재,소재,유,4Q,"2,617.4","2,542.8", ,2.93,확정, 
134,이지웰,IT,소프트웨어,코,4Q,31.8,31.0, ,2.55,확정, 
135,AP시스템,IT,디스플레이,코,4Q,124.6,121.6,112.0,2.44,잠정,2021-03-03
136,쌍용양회,소재,소재,유,4Q,747.6,731.7, ,2.18,확정, 
137,휴비츠,의료,의료 장비 및 서비스,코,4Q,41.6,41.0, ,1.54,확정, 
138,화신,경기소비재,자동차 및 부품,유,4Q,138.8,137.0,-47.4,1.33,잠정,2021-02-19
139,팬오션,산업재,운송,유,4Q,601.8,595.2, ,1.12,확정, 
140,한솔케미칼,소재,소재,유,4Q,268.0,265.4, ,0.96,확정, 
141,POSCO,소재,소재,유,4Q,"8,633.6","8,562.2", ,0.83,확정, 
142,서흥,의료,제약 및 바이오,유,4Q,146.1,145.0, ,0.72,확정, 
143,GS,에너지,에너지,유,4Q,"2,797.4","2,785.0","4,814.9",0.44,잠정,2021-02-09
144,GS건설,산업재,자본재,유,4Q,"2,048.8","2,046.6","1,822.7",0.11,잠정,2021-01-28
145,제우스,IT,반도체,코,4Q,43.0,43.0, ,0.05,확정, 
