,회사이름,회사코드,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/09
0,DSR,155660,7.370095440084835,5.040733197556008,5.331340308918784,4.476190476190476
1,GS글로벌,001250,3.81770460510618,4.609317229479911,5.421742769459685,4.368108566581849
2,HDC현대산업개발,294870,,10.045503381154017,17.067962366922508,13.617521297777197
3,KG케미칼,001390,6.777550475851641,6.4628275985024075,3.3759620061225073,5.5921721204378505
4,LG이노텍,011070,5.4174051268933505,5.167375914341184,8.166862514688601,4.756374386316845
5,LG전자,066570,7.7494922096962044,7.926264308500657,6.915237878959918,6.657562486592264
6,LG헬로비전,037560,4.194235084287441,3.8367253862379567,1.833423798323382,1.6222910216718265
7,OCI,010060,5.826197402384562,3.530353925210776,-4.654999097868392,-3.183045139909667
8,S&TC,100840,8.149405772495756,-0.9165460684997588,5.646982897708938,6.877076411960132
9,S&T모티브,064960,9.782498735457764,6.124381774176576,12.05568320043249,7.763854799121561
10,SK이노베이션,096770,11.894398357865668,7.562611243954621,4.152218572942701,-7.5653314362970026
11,STX,011810,9.981892258940697,-3.442661083973017,0.39461467038068704,2.110279101429544
12,YG PLUS,037270,-9.820193637621024,2.187902187902188,0.0,-2.0361990950226243
13,갤럭시아에스엠,011420,-13.750000000000002,-69.0721649484536,-7.920792079207921,6.722689075630252
14,고려아연,010130,19.58844133099825,16.7656924864616,16.06295129054135,10.90540981075099
15,극동유화,014530,7.165437302423603,9.08646800195408,7.47872816838334,5.026455026455026
16,까뮤이앤씨,013700,8.086469175340271,3.225806451612903,10.979228486646884,4.087591240875913
17,남선알미늄,008350,11.542730299667037,5.181918412348401,7.402680280791321,0.2565747273893521
18,대덕전자,353200,,,,2.1265560165975104
19,대영포장,014160,-1.346633416458853,4.487482286254133,6.706706706706707,1.5840572304547778
20,대웅,003090,6.816165201258369,6.867878041268864,8.181126331811264,5.471171729696218
21,대한유화,006650,15.797665369649804,18.085890962727632,6.49506306717653,5.320535608484418
22,두산,000150,4.876398581684688,4.922793656107461,5.145110127129356,1.2892657623333919
23,두산밥캣,241560,6.885057070054801,7.820753109558698,7.4858757062146895,4.011500757031214
24,락앤락,115390,9.648466716529544,6.596782938731249,3.889244558258643,2.4
25,롯데정보통신,286940,1.1899416255051638,8.889901983131981,9.323956442831216,6.521245171551921
26,마니커,027740,3.007846556233653,0.32299741602067183,-10.395010395010395,-20.830350751610595
27,만도,204320,2.0001437229022443,4.708857136041602,5.203522970721257,0.19843167256383284
28,메리츠증권,008560,1.9097394126991643,1.7421272083417882,1.8591182655156666,1.3974124154437788
29,모두투어리츠,204210,180.0,255.55555555555554,167.85714285714286,100.0
30,부국증권,001270,3.487686181979059,2.6515959337456456,2.4769505985963947,1.2957148542873569
31,삼성SDI,006400,1.8677104968844862,7.559178322602472,4.47222517876322,3.8360194192279233
32,삼성엔지니어링,028050,1.1970393057682491,5.296974992932226,11.258104082705449,7.239456907359493
33,삼성중공업,010140,-4.37040927774026,-3.270762911642254,-5.122964440013293,-6.622915805429241
34,삼성출판사,068290,7.0108349267049075,2.010968921389397,2.3166023166023164,-1.7010309278350515
35,삼성화재해상보험,000810,1.6727630651361383,1.8445647765429543,1.0249098480932946,1.032517798879516
36,삼양홀딩스,000070,4.6880189798339265,6.098634962571555,3.4274367607700937,5.364602721594904
37,삼영전자공업,005680,3.763213530655391,5.2420968387354945,1.9793459552495698,3.3978494623655915
38,삼영화학공업,003720,-13.450292397660817,-6.200787401574804,-0.8490566037735849,1.729106628242075
39,상상인증권,001290,-1.1375630350650874,-2.59326660600546,-1.309090909090909,0.8641701750498559
40,선도전기,007610,1.5592515592515594,1.1530398322851152,-1.585820895522388,2.5022341376228776
41,세방전지,004490,9.576073535464397,16.981995727799816,13.871391076115486,8.025411642681188
42,세원셀론텍,091090,1.1497730711043872,-3.0589719331441185,0.4744958481613286,0.09113001215066828
43,신한알파리츠,293940,333.33333333333337,279.48717948717945,274.5098039215686,70.15706806282722
44,신한지주,055550,0.9090291995368935,0.9888400019339895,0.9322265755973996,0.6764082734274417
45,쌍용자동차,003620,-3.2376419257276017,-3.1605375867670946,-15.045097934567966,-19.159226190476193
46,에넥스,011090,2.5179856115107913,0.6949806949806949,-2.5617566331198534,-3.8869257950530036
47,영화금속,012280,4.27807486631016,0.5620848237097598,1.02880658436214,-2.215018908698001
48,윌비스,008600,2.44926522043387,1.1980267794221282,-7.677318784099767,0.1520912547528517
49,유나이티드,033270,16.808059384941675,18.529411764705884,16.016713091922004,13.169642857142858
50,인지컨트롤스,023800,1.595405232929164,3.39034819792303,1.4195183776932827,0.17721518987341772
51,인터지스,129260,3.245480287519059,2.2102045614860097,1.8377155781735937,0.9471191791633782
52,일성건설,013360,8.306503541532518,6.875000000000001,3.769740193581253,3.423120089786756
53,일진다이아,081000,11.02775693923481,12.5,10.401891252955082,5.937921727395412
54,제일약품,271980,1.2674271229404308,1.8546365914786966,0.10403120936280884,2.6520681265206814
55,제일연마,001560,9.82839313572543,7.747489239598278,9.691011235955056,4.153846153846154
56,제일파마홀딩스,002620,14.426229508196723,1.551380586393396,1.4395393474088292,2.8709579933514657
57,조흥,002600,11.137440758293838,7.91117279666898,7.27810650887574,3.91566265060241
58,지역난방공사,071320,2.1312933641700766,0.2617234034872387,0.726609043011123,1.1915867288568158
59,진도,088790,8.83935434281322,5.619707467282526,-2.447257383966245,-2.0
60,코오롱인더,120110,4.299300820775611,3.580085372916622,3.7688551748190773,2.0836164333922182
61,키다리스튜디오,020120,-5.0,2.803738317757009,2.734375,13.937282229965156
