,회사이름,회사코드,옥수치19/12,옥수치20/03,옥수치20/06,옥수치20/09,업종
0,DSR,155660,1.345291479820628,1.5594541910331383,1.8286814244465832,1.1428571428571428,1차 비철금속 제조업
1,GS글로벌,1250,1.1345670975541708,1.7070822025737546,1.398533007334963,0.7845631891433419,상품 종합 도매업
2,HDC현대산업개발,294870,4.964100024758603,4.282595134123518,4.288084771913481,4.328100009792082,건물 건설업
3,KG케미칼,1390,0.7839098217606499,1.6421974566993236,1.8901341385517685,2.00342614906652,기초 화학물질 제조업
4,LG이노텍,11070,4.240447343895619,2.685817714719449,0.8623115577889447,1.5731404740537402,전자부품 제조업
5,LG전자,66570,0.28897467923242875,3.0349081233335005,1.4265557059348632,2.508881807859942,통신 및 방송 장비 제조업
6,LG헬로비전,37560,0.1990229781074724,0.4711209006363191,0.6033739687230637,0.5696594427244582,텔레비전 방송업
7,OCI,10060,-1.6547671211691626,-2.401447589504976,-1.2032158183497204,0.4837373386428629,기초 화학물질 제조업
8,S&TC,100840,0.5808325266214909,2.054563826204109,2.4216984178237,2.358803986710964,일반 목적용 기계 제조업
9,S&T모티브,64960,3.4464116772536832,2.444733420026008,1.7401700318809776,3.6429401886061235,자동차 신품 부품 제조업
10,SK이노베이션,96770,0.3892807139212017,-6.199796040959447,-1.553095594676312,-0.0974366408970914,석유 정제품 제조업
11,STX,11810,-3.1801299907149487,0.07040600797934758,0.9440993788819876,0.7147719537100068,상품 종합 도매업
12,YG PLUS,37270,-0.2298850574712644,-3.057757644394111,0.3558718861209964,0.5656108597285068,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
13,갤럭시아에스엠,11420,0.99009900990099,-1.8867924528301887,2.586206896551724,6.722689075630252,스포츠 서비스업
14,고려아연,10130,3.5285435034108588,3.836403582896738,3.0867683041596083,4.587958752981144,1차 비철금속 제조업
15,극동유화,14530,1.477832512315271,1.9031141868512111,1.7599277978339352,1.3668430335097002,석유 정제품 제조업
16,까뮤이앤씨,13700,-0.37091988130563797,1.5761821366024518,1.2927756653992395,1.45985401459854,건물 건설업
17,남선알미늄,8350,3.4460753031269937,1.4659018483110262,-0.5681818181818182,-0.5772931366260423,1차 비철금속 제조업
18,대덕전자,353200,,,0.8894198858356563,1.2577800829875518,전자부품 제조업
19,대영포장,14160,1.4014014014014011,1.4529058116232465,-0.1544004117344313,0.2043944813490036,"골판지, 종이 상자 및 종이용기 제조업"
20,대웅,3090,1.4916286149162858,1.8433532201315588,1.50206241730874,2.1001239925604462,기타 금융업
21,대한유화,6650,0.6734775412362308,-2.645288261171568,4.369605890518439,3.7385946202156655,기초 화학물질 제조업
22,두산,150,1.1330740188043806,0.3567531927252176,0.0319913177993213,0.8858608619825518,회사 본부 및 경영 컨설팅 서비스업
23,두산밥캣,241560,1.6023226616446955,1.2633172265238402,0.9450864462957986,1.7128787067765765,특수 목적용 기계 제조업
24,락앤락,115390,1.648527528809219,0.1328462304882099,0.7667944657442907,1.5519999999999998,플라스틱제품 제조업
25,롯데정보통신,286940,3.697822141560799,1.3959981386691485,2.7867342238599724,2.4085435128379915,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
26,마니커,27740,-5.8212058212058215,-7.574704656011119,-6.1805555555555545,-3.8654259126700072,"도축, 육류 가공 및 저장 처리업"
27,만도,204320,1.5305879552487502,0.4452038311594552,-1.996948010945064,1.5683274361671606,자동차 신품 부품 제조업
28,메리츠증권,8560,0.6187946219829319,0.36734465915899145,0.5457972626470922,0.5061819384749353,금융 지원 서비스업
29,모두투어리츠,204210,92.85714285714286,25.0,30.0,33.33333333333333,부동산 임대 및 공급업
30,부국증권,1270,0.4128250997660658,0.3613811755379917,0.3729365439951537,0.5196126122142131,금융 지원 서비스업
31,삼성SDI,6400,0.19448664234777308,0.511770726714432,0.962278319072208,2.4129654027324086,일차전지 및 축전지 제조업
32,삼성엔지니어링,28050,1.947900239471993,2.557965594614809,2.505914308244984,2.6701165675264744,"건축기술, 엔지니어링 및 관련 기술 서비스업"
33,삼성중공업,10140,-1.7863077434363577,-0.3836614789427638,-5.968626128025639,-0.11540581507509992,선박 및 보트 건조업
34,삼성출판사,68290,1.5926640926640927,0.33444816053511706,-0.9013520280420632,-1.134020618556701,"서적, 잡지 및 기타 인쇄물 출판업"
35,삼성화재해상보험,810,0.05774474683205904,0.28469776145000697,0.4480695727311687,0.31679263734154656,보험업
36,삼양홀딩스,70,-0.7208840542173875,1.3587296294752635,1.4208018887811462,2.6223270050047565,기타 금융업
37,삼영전자공업,5680,-0.2581755593803787,0.6736842105263158,1.561181434599156,1.118279569892473,전자부품 제조업
38,삼영화학공업,3720,0.5660377358490566,0.3875968992248062,1.147227533460803,0.19212295869356388,플라스틱제품 제조업
39,상상인증권,1290,0.4606060606060606,0.577046377431075,0.6006628003314002,-0.3545313538666076,금융 지원 서비스업
40,선도전기,7610,-0.09328358208955224,-1.6047297297297296,2.566225165562914,1.5192135835567468,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
41,세방전지,4490,2.742782152230971,2.731655061596144,2.3554603854389717,3.0986645922468568,일차전지 및 축전지 제조업
42,세원셀론텍,91090,0.771055753262159,0.4976580796252928,0.0916030534351145,-0.5164034021871203,"구조용 금속제품, 탱크 및 증기발생기 제조업"
43,신한알파리츠,293940,163.63636363636363,0.0,225.0,0.0,부동산 임대 및 공급업
44,신한지주,55550,0.1678683964975045,0.21854299225922602,0.21820021329800968,0.2494731277748618,기타 금융업
