,회사이름,회사코드,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/12,업종
0,DSR,155660,7.370095440084835,5.040733197556008,5.331340308918784,5.937193326790973,1차 비철금속 제조업
1,GS글로벌,1250,3.8177046051061803,4.609317229479911,5.421742769459685,3.9395048176606906,상품 종합 도매업
2,HDC현대산업개발,294870,,10.045503381154015,17.067962366922508,15.459536504249591,건물 건설업
3,KEC,92220,1.9885507683037056,1.066925315227934,-3.2392410920869965,-1.1132623426911907,반도체 제조업
4,KG동부제철,16380,-0.4964658364187142,-0.6895391860073999,1.5349126075769677,5.28827796869034,1차 철강 제조업
5,KG케미칼,1390,6.777550475851642,6.462827598502408,3.3759620061225077,6.722177653600378,기초 화학물질 제조업
6,KTis,58860,7.997118155619598,6.802721088435375,6.865671641791044,4.8413125336202265,기타 정보 서비스업
7,LG이노텍,11070,5.417405126893351,5.167375914341183,9.651930791361076,12.878701917621695,전자부품 제조업
8,LG전자,66570,7.7494922096962044,7.926264308500657,6.915237878959918,8.540314561570456,통신 및 방송 장비 제조업
9,LG헬로비전,37560,4.200034568185746,3.782080144079244,1.7552296225054098,2.642559109874826,텔레비전 방송업
10,OCI,10060,5.826197402384563,3.5303539252107763,-4.654999097868392,-2.38921108860338,기초 화학물질 제조업
11,SK이노베이션,96770,11.894398357865667,7.562611243954621,3.6417506303407268,-8.850057535020568,석유 정제품 제조업
12,STX,11810,9.981892258940695,-3.442661083973017,0.6252791424743189,-0.09095870474804438,상품 종합 도매업
13,WISCOM,24070,0.3802281368821293,-0.3745318352059925,0.8676789587852495,-1.9296254256526677,플라스틱제품 제조업
14,갤럭시아에스엠,11420,-13.750000000000002,-69.0721649484536,-7.920792079207921,12.612612612612612,스포츠 서비스업
15,경농,2100,2.755905511811024,4.607721046077209,2.6212714673094304,4.2814371257485035,"비료, 농약 및 살균, 살충제 제조업"
16,경동인베스트,12320,12.264150943396224,12.314023425134534,7.96221322537112,7.162629757785468,기타 금융업
17,국도화학,7690,8.698999230177058,9.182171061437558,5.238924838227973,5.896679912831688,기초 화학물질 제조업
18,국동,5320,-6.020408163265307,4.75396163469558,-4.187437686939183,29.268292682926827,생활용품 도매업
19,극동유화,14530,7.165437302423602,9.08646800195408,7.4787281683833395,5.978260869565218,석유 정제품 제조업
20,기아,270,2.285229178601255,3.941270808718125,6.36760843184533,6.805106876236955,자동차용 엔진 및 자동차 제조업
21,까뮤이앤씨,13700,8.086469175340271,3.2258064516129035,10.979228486646884,2.4496937882764653,건물 건설업
22,대덕전자,353200,,,,1.5317286652078774,전자부품 제조업
23,대웅,3090,6.81616520125837,6.867878041268864,8.07321333637123,7.706205813040063,기타 금융업
24,덴티움,145720,16.123970184386028,10.396039603960396,9.065098357331172,8.894878706199462,의료용 기기 제조업
25,두산인프라코어,42670,7.40367270567936,8.969572620646623,8.785832270474836,7.255861096421647,특수 목적용 기계 제조업
26,두산중공업,34020,4.335155864373315,4.76014287543937,5.146746065504041,0.7528751917608778,일반 목적용 기계 제조업
27,디피씨,26890,14.489311163895488,16.219512195121947,16.683119447186574,32.383966244725734,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
28,락앤락,115390,9.648466716529544,6.596782938731249,3.889244558258643,4.9511735480555075,플라스틱제품 제조업
29,롯데정보통신,286940,1.1899416255051638,8.889901983131981,9.347282237889472,6.929808894445437,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
30,마니커,27740,3.0078465562336536,0.32299741602067183,-10.40943789035392,-22.087205146533236,"도축, 육류 가공 및 저장 처리업"
31,메리츠증권,8560,1.9097394126991645,1.7421272083417882,1.8591182655156664,1.9632995762782195,금융 지원 서비스업
32,명문제약,17180,3.327417923691216,2.1102497846683894,-5.676855895196508,-13.039568345323739,의약품 제조업
33,모두투어리츠,204210,180.0,255.55555555555557,167.85714285714286,138.46153846153842,부동산 임대 및 공급업
34,부국증권,1270,3.4876861819790586,2.6515959337456456,2.4769505985963947,4.903143855192124,금융 지원 서비스업
35,삼성SDI,6400,1.8677104968844864,7.559178322602472,4.47222517876322,6.068413154707019,일차전지 및 축전지 제조업
36,삼성엔지니어링,28050,1.1970393057682491,5.296974992932227,11.258104082705447,9.777975875421346,"건축기술, 엔지니어링 및 관련 기술 서비스업"
37,삼성출판사,68290,7.010834926704908,2.010968921389397,2.315484804630969,-2.4141630901287554,"서적, 잡지 및 기타 인쇄물 출판업"
38,삼성화재해상보험,810,1.6727630651361385,1.8445647765429545,1.0288307876930023,1.1404635235125054,보험업
39,삼영화학공업,3720,-13.450292397660814,-6.200787401574804,-0.8490566037735849,1.2322274881516588,플라스틱제품 제조업
40,삼호개발,10960,26.948775055679285,22.021660649819495,20.170940170940174,10.60842433697348,기반조성 및 시설물 축조관련 전문공사업
41,상상인증권,1290,-1.1375630350650874,-2.59326660600546,-1.3090909090909093,0.6352683461117196,금융 지원 서비스업
42,선도전기,7610,1.5592515592515594,1.1530398322851152,-1.5858208955223883,2.2184300341296934,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
43,선진,136490,11.061678463094035,5.840886203423968,5.063131313131313,11.768566116154435,동물용 사료 및 조제식품 제조업
44,세기상사,2420,-0.9708737864077668,-0.9852216748768472,-1.2437810945273633,-3.0534351145038165,"영화, 비디오물, 방송프로그램 제작 및 배급업"
45,세방전지,4490,9.576073535464397,16.981995727799813,13.906064991448494,12.081758364832703,일차전지 및 축전지 제조업
46,세아제강지주,3030,2.46586990410506,3.736018935350629,2.9530138524897045,3.483723586521988,기타 금융업
