,회사이름,회사코드,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/12
0,DSR,155660,7.370095440084835,5.040733197556008,5.331340308918784,5.937193326790972
1,GS글로벌,001250,3.81770460510618,4.609317229479911,5.421742769459685,3.9395048176606906
2,HDC현대산업개발,294870,,10.045503381154017,17.067962366922508,15.459536504249591
3,KEC,092220,1.9885507683037058,1.066925315227934,-3.2392410920869965,-1.1132623426911907
4,KG동부제철,016380,-0.4964658364187142,-0.6895391860073999,1.5349126075769675,5.28827796869034
5,KG케미칼,001390,6.777550475851641,6.4628275985024075,3.3759620061225073,6.722177653600377
6,KTis,058860,7.997118155619597,6.802721088435375,6.865671641791045,4.8413125336202265
7,LG이노텍,011070,5.4174051268933505,5.167375914341184,9.651930791361076,12.878701917621695
8,LG전자,066570,7.7494922096962044,7.926264308500657,6.915237878959918,8.540314561570456
9,LG헬로비전,037560,4.200034568185746,3.7820801440792438,1.7552296225054098,2.642559109874826
10,OCI,010060,5.826197402384562,3.530353925210776,-4.654999097868392,-2.38921108860338
11,SK이노베이션,096770,11.894398357865668,7.562611243954621,3.641750630340727,-8.850057535020568
12,STX,011810,9.981892258940697,-3.442661083973017,0.6252791424743189,-0.09095870474804438
13,WISCOM,024070,0.38022813688212925,-0.37453183520599254,0.8676789587852495,-1.9296254256526675
14,갤럭시아에스엠,011420,-13.750000000000002,-69.0721649484536,-7.920792079207921,12.612612612612612
15,경농,002100,2.7559055118110236,4.60772104607721,2.6212714673094304,4.281437125748503
16,경동인베스트,012320,12.264150943396226,12.314023425134536,7.96221322537112,7.162629757785467
17,국도화학,007690,8.69899923017706,9.182171061437558,5.238924838227974,5.896679912831688
18,국동,005320,-6.020408163265306,4.75396163469558,-4.187437686939183,29.268292682926827
19,극동유화,014530,7.165437302423603,9.08646800195408,7.47872816838334,5.978260869565218
20,기아,000270,2.285229178601255,3.941270808718125,6.36760843184533,6.805106876236955
21,까뮤이앤씨,013700,8.086469175340271,3.225806451612903,10.979228486646884,2.4496937882764653
22,대덕전자,353200,,,,1.5317286652078774
23,대웅,003090,6.816165201258369,6.867878041268864,8.07321333637123,7.706205813040063
24,덴티움,145720,16.12397018438603,10.396039603960396,9.065098357331172,8.89487870619946
25,두산인프라코어,042670,7.4036727056793605,8.969572620646622,8.785832270474836,7.255861096421647
26,두산중공업,034020,4.335155864373315,4.76014287543937,5.146746065504041,0.7528751917608778
27,디피씨,026890,14.489311163895488,16.21951219512195,16.683119447186577,32.383966244725734
28,락앤락,115390,9.648466716529544,6.596782938731249,3.889244558258643,4.951173548055508
29,롯데정보통신,286940,1.1899416255051638,8.889901983131981,9.34728223788947,6.929808894445437
30,마니커,027740,3.007846556233653,0.32299741602067183,-10.40943789035392,-22.087205146533236
31,메리츠증권,008560,1.9097394126991643,1.7421272083417882,1.8591182655156666,1.9632995762782195
32,명문제약,017180,3.3274179236912156,2.1102497846683894,-5.676855895196507,-13.03956834532374
33,모두투어리츠,204210,180.0,255.55555555555554,167.85714285714286,138.46153846153845
34,부국증권,001270,3.487686181979059,2.6515959337456456,2.4769505985963947,4.903143855192124
35,삼성SDI,006400,1.8677104968844862,7.559178322602472,4.47222517876322,6.06841315470702
36,삼성엔지니어링,028050,1.1970393057682491,5.296974992932226,11.258104082705449,9.777975875421346
37,삼성출판사,068290,7.0108349267049075,2.010968921389397,2.3154848046309695,-2.4141630901287554
38,삼성화재해상보험,000810,1.6727630651361383,1.8445647765429543,1.0288307876930023,1.1404635235125054
39,삼영화학공업,003720,-13.450292397660817,-6.200787401574804,-0.8490566037735849,1.2322274881516588
40,삼호개발,010960,26.948775055679285,22.021660649819495,20.17094017094017,10.60842433697348
41,상상인증권,001290,-1.1375630350650874,-2.59326660600546,-1.309090909090909,0.6352683461117196
42,선도전기,007610,1.5592515592515594,1.1530398322851152,-1.585820895522388,2.218430034129693
43,선진,136490,11.061678463094033,5.840886203423968,5.063131313131313,11.768566116154435
44,세기상사,002420,-0.9708737864077669,-0.9852216748768473,-1.2437810945273633,-3.0534351145038165
45,세방전지,004490,9.576073535464397,16.981995727799816,13.906064991448494,12.081758364832703
46,세아제강지주,003030,2.4658699041050594,3.736018935350629,2.9530138524897045,3.4837235865219878
47,세원셀론텍,091090,1.1497730711043872,-3.0589719331441185,0.4744958481613286,-1.9305019305019304
48,신한알파리츠,293940,279.48717948717945,274.5098039215686,70.15706806282722,314.70588235294116
49,신한지주,055550,0.9090291995368935,0.9888400019339895,0.9322265755973996,0.833122927417226
50,쌍용자동차,003620,-3.2376419257276017,-3.1605375867670946,-15.045097934567966,-28.79108206803767
51,영화금속,012280,4.27807486631016,0.5620848237097598,1.02880658436214,-3.2831001076426265
52,오뚜기,007310,12.696619449031024,10.4606261205351,8.788668958160484,10.849830471398885
53,윌비스,008600,2.44926522043387,1.1980267794221282,-7.677318784099767,0.9327633113097552
54,유나이티드,033270,16.808059384941675,18.529411764705884,16.016713091922004,18.335619570187472
55,인지컨트롤스,023800,1.595405232929164,3.39034819792303,1.4220416455053326,-0.7466529351184346
56,인터지스,129260,3.245480287519059,2.2102045614860097,1.8377155781735937,2.4959481361426255
57,일성건설,013360,8.306503541532518,6.875000000000001,3.769740193581253,8.065779169929522
58,일진다이아,081000,11.02775693923481,12.5,10.7981220657277,6.385964912280702
59,자화전자,033240,12.573231185218567,-3.79123584441162,-4.613841524573721,-8.960074280408541
60,제일약품,271980,1.2674271229404308,1.8546365914786966,0.05220569042025581,3.237139272271016
