,회사코드,상승율,업종
113,006620,-3.7072060748534716,의약품 제조업
114,196490,-8.287437697460549,특수 목적용 기계 제조업
115,066900,-0.3408300360294937,전자부품 제조업
116,127120,-20.742121869416582,자연과학 및 공학 연구개발업
117,092070,-4.551178286807763,기타 화학제품 제조업
118,033130,-6.676275331935711,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
119,060240,-2.2466652172494204,소프트웨어 개발 및 공급업
120,219420,-7.722808781632313,소프트웨어 개발 및 공급업
121,086900,-14.839833664875677,기초 의약물질 및 생물학적 제제 제조업
122,021880,0.9250875225797414,기타 금융업
123,327260,-6.64542648512856,전자부품 제조업
124,080160,-10.634780060639589,여행사 및 기타 여행보조 서비스업
125,250060,13.980467618031327,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
126,118990,-4.896531828961259,자동차 신품 부품 제조업
127,028040,0.6052206211740725,상품 중개업
128,207760,12.440637574984631,기타 정보 서비스업
129,214610,9.222050813616711,의료용 기기 제조업
130,206640,20.065035345820238,의료용품 및 기타 의약 관련제품 제조업
131,053030,5.196188939389336,의약품 제조업
132,337930,-44.0435440216526,기타 정보 서비스업
133,023600,1.9696385833057566,"펄프, 종이 및 판지 제조업"
134,111870,-14.761748634295168,영상 및 음향기기 제조업
135,009300,-1.1761764028402424,의약품 제조업
136,042940,4.009285983582793,건물 건설업
137,100660,-3.093151806178443,일반 목적용 기계 제조업
138,086710,-2.86271011286601,기타 화학제품 제조업
139,080470,-0.15913327430730453,자동차 신품 부품 제조업
140,011560,-4.779890415171533,건물설비 설치 공사업
141,258830,-10.77108116094816,의료용 기기 제조업
142,208370,3.8793815485207777,의료용 기기 제조업
143,068760,1.0453254104721055,의약품 제조업
144,053110,-6.34338491600059,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
145,204630,-2.376075281708637,창작 및 예술관련 서비스업
146,013810,7.942216068734542,특수 목적용 기계 제조업
147,222800,1.5181875024207914,전자부품 제조업
148,010280,-2.1788355532624166,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
149,208640,150.30780030780036,소프트웨어 개발 및 공급업
150,189330,1.6360153256704986,소프트웨어 개발 및 공급업
151,900120,12.916556922829404,기타 금융업
152,123860,-34.96083816609488,반도체 제조업
153,099190,1.0456412840565306,의료용 기기 제조업
154,040910,2.492637093277207,특수 목적용 기계 제조업
155,068940,6.397801915148204,전자부품 제조업
156,078860,-1.3740798530739256,"영화, 비디오물, 방송프로그램 제작 및 배급업"
157,114810,-0.15355948300035005,특수 목적용 기계 제조업
158,031310,-3.0638764573371717,전기 통신업
159,124500,0.8211467269975687,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
160,096610,-8.105677153464178,반도체 제조업
161,061040,-0.9989125289478468,통신 및 방송 장비 제조업
162,102120,6.626814474162459,반도체 제조업
163,103230,3.228985112983805,일반 목적용 기계 제조업
164,101490,2.459359298299168,전자부품 제조업
165,095910,-1.6662910215501943,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
166,043340,-0.47457967180609495,일반 목적용 기계 제조업
167,096690,1.390280353638116,컴퓨터 및 주변장치 제조업
168,241840,6.006588138348305,"영화, 비디오물, 방송프로그램 제작 및 배급업"
169,043220,11.051939255480526,특수 목적용 기계 제조업
170,950130,20.251641190323557,의료용품 및 기타 의약 관련제품 제조업
171,070300,10.135533699088947,소프트웨어 개발 및 공급업
172,092870,-0.8916365100019141,특수 목적용 기계 제조업
173,101400,7.575872169142053,반도체 제조업
174,138690,1.2802361036014498,특수 목적용 기계 제조업
175,058630,7.278192191477978,소프트웨어 개발 및 공급업
176,019590,-0.13028349895767538,신탁업 및 집합투자업
177,097520,3.5711966105346735,영상 및 음향기기 제조업
178,265560,-6.992546131012984,자동차 신품 부품 제조업
179,122640,-7.789328722410011,특수 목적용 기계 제조업
180,045060,0.47044140306491034,기타 화학제품 제조업
181,048260,3.0365483205352413,의료용 기기 제조업
182,049480,1.1454749046792494,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
183,109080,-3.212896075449658,통신 및 방송 장비 제조업
184,041190,8.222825323337172,기타 금융업
185,037400,2.7458474796300507,전구 및 조명장치 제조업
186,053080,-4.910625894233786,일반 목적용 기계 제조업
187,074600,-4.000621025873633,유리 및 유리제품 제조업
188,065950,2.5691094226219526,직물직조 및 직물제품 제조업
189,036090,-6.200529096700264,특수 목적용 기계 제조업
190,203450,0.026340103906332294,통신 및 방송 장비 제조업
191,241690,-1.7681851881728765,자동차 신품 부품 제조업
192,078070,5.503847338370305,통신 및 방송 장비 제조업
193,054930,0.27594299847099496,"건축기술, 엔지니어링 및 관련 기술 서비스업"
194,178780,5.516589010911825,전자부품 제조업
195,179900,-11.34446749118228,전자부품 제조업
196,047560,1.7179540483291713,소프트웨어 개발 및 공급업
197,900110,-2.322248129747597,기타 금융업
198,087730,1.2713032147535115,합성고무 및 플라스틱 물질 제조업
199,123570,0.3763455438292913,광고업
200,079950,-1.1617977498338306,특수 목적용 기계 제조업
201,064290,27.21426734116435,특수 목적용 기계 제조업
202,254120,-4.117013040701055,특수 목적용 기계 제조업
203,234920,-4.063487091833287,가정용 기기 제조업
204,040420,-0.7752335262959658,일반 교습 학원
205,079370,-2.8928167844176658,특수 목적용 기계 제조업
206,033320,-3.2751967692007504,기계장비 및 관련 물품 도매업
207,322510,11.224345364472754,소프트웨어 개발 및 공급업
208,094970,-1.7975031821694085,전자부품 제조업
209,080220,-2.2789583982794026,반도체 제조업
210,034940,-1.2933703537612198,의약품 제조업
211,036930,-8.15721921649909,특수 목적용 기계 제조업
212,119850,-0.11424529260885344,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
213,065060,-3.1453367171999824,봉제의복 제조업
214,071850,-2.1921879628242356,자동차 신품 부품 제조업
215,042040,-1.614143060362625,기타 화학제품 제조업
216,054410,-0.18280530633686767,기타 금속 가공제품 제조업
217,274090,-2.209770573113619,"항공기,우주선 및 부품 제조업"
218,069110,-5.750443413205646,기타 화학제품 제조업
219,102940,-2.2956535056341356,기초 의약물질 및 생물학적 제제 제조업
220,126600,1.1098176415121819,합성고무 및 플라스틱 물질 제조업
221,043590,-4.210481707250248,반도체 제조업
222,139670,66.72413155949744,소프트웨어 개발 및 공급업
223,045340,5.025700933814457,소프트웨어 개발 및 공급업
224,105550,1.052800811651136,전자부품 제조업
225,026150,0.6438638137456411,토목 건설업
226,131290,1.3987584700233338,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
227,033540,-5.0204254699372575,특수 목적용 기계 제조업
228,037070,4.457007892694752,가정용 기기 제조업
229,047310,-4.354267081874902,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
230,065690,-1.5371876492011138,반도체 제조업
231,225590,-4.788994457429982,봉제의복 제조업
232,256630,-1.9029162078858677,기타 금속 가공제품 제조업
233,005670,0.7329704587790378,"과실, 채소 가공 및 저장 처리업"
234,203690,7.780194005752152,기초 의약물질 및 생물학적 제제 제조업
235,335810,4.472098103965675,의료용 기기 제조업
236,032580,-4.059720885294122,반도체 제조업
237,024850,-3.1308530826603125,전자부품 제조업
238,006140,-1.1829380040444035,의료용 기기 제조업
239,299030,-7.409377065526481,특수 목적용 기계 제조업
240,221840,-1.2081367309894777,"항공기,우주선 및 부품 제조업"
241,039340,4.278908384298087,텔레비전 방송업
242,222980,0.8296932552226449,기타 식품 제조업
243,025550,-0.5236704462005808,1차 철강 제조업
244,050540,0.1968709578661565,기타 사업지원 서비스업
245,070590,-6.952772234020922,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
246,078350,2.8244270151679096,반도체 제조업
247,007770,-1.5938230817622756,기초 화학물질 제조업
248,319400,0.7739659838610635,일반 목적용 기계 제조업
249,048410,-3.1383090521780574,기타 화학제품 제조업
250,052260,-4.893115135561007,기타 화학제품 제조업
251,039610,-0.3170431738367852,일반 목적용 기계 제조업
252,115160,1.1911278144193,영상 및 음향기기 제조업
253,037440,-0.2134981516533452,"건축기술, 엔지니어링 및 관련 기술 서비스업"
254,076340,4.534400648318163,기반조성 및 시설물 축조관련 전문공사업
255,244880,1.7595550079952573,의료용 기기 제조업
256,323350,-7.585816144639676,사진장비 및 광학기기 제조업
257,086080,-74.240836119394,자연과학 및 공학 연구개발업
258,271850,-25.475737665067534,자연과학 및 공학 연구개발업
259,103660,-3.7907986427296243,기타 화학제품 제조업
260,270210,-6.475155279503104,기타 화학제품 제조업
261,276240,-63.0065996228787,영상 및 음향기기 제조업
262,221800,1.2013872231658076,기타 과학기술 서비스업
263,336040,-4.489633173843706,자연과학 및 공학 연구개발업
264,120780,-4.819852873366557,자동차 신품 부품 제조업
265,250030,-1.559400528991413,기타 화학제품 제조업
266,136660,-27.21396299293795,특수 목적용 기계 제조업
267,309900,-36.80128767925078,"그외 기타 전문, 과학 및 기술 서비스업"
268,354230,-3.872282608695651,소프트웨어 개발 및 공급업
269,000120,-0.03374359398264094,도로 화물 운송업
270,097950,0.19437132525402387,기타 식품 제조업
271,105560,-0.04941395577981153,기타 금융업
272,119650,-6.134492291952355,일반 목적용 기계 제조업
273,025000,3.5050922431300147,기초 화학물질 제조업
274,000040,7.474073918727819,그외 기타 운송장비 제조업
275,058850,0.8335024979481112,기타 정보 서비스업
276,229640,-0.9927703972471071,기타 금융업
277,068400,0.06553337484970273,운송장비 임대업
278,035250,-17.667239947712876,유원지 및 기타 오락관련 서비스업
279,030610,0.015555180296200004,금융 지원 서비스업
280,014280,-2.7822813958843446,1차 철강 제조업
281,002990,1.4600732632290843,건물 건설업
282,001210,-1.5596421184659883,전구 및 조명장치 제조업
283,024110,-0.05791035975591247,은행 및 저축기관
284,004270,-4.514331516312875,기타 전문 도매업
285,003580,-3.365337752085647,기타 비금속광물 광업
286,251270,-4.892202253704942,소프트웨어 개발 및 공급업
287,006370,-0.5005874249148817,종합 소매업
288,014160,1.3545946375255489,"골판지, 종이 상자 및 종이용기 제조업"
289,047040,0.11289837412045255,건물 건설업
290,003220,-1.1041790773424291,의약품 제조업
291,001070,1.5249876615517797,직물직조 및 직물제품 제조업
292,001790,1.2036398981458012,"곡물가공품, 전분 및 전분제품 제조업"
293,005880,0.27763153875016033,해상 운송업
294,024900,-0.5664998396000295,자동차 신품 부품 제조업
295,049770,0.5338450157517219,기타 식품 제조업
296,018500,1.2169312724631676,자동차 신품 부품 제조업
297,024090,1.7417500955857104,1차 철강 제조업
298,007340,0.4731268488436261,일차전지 및 축전지 제조업
299,280360,1.5735481340450246,기타 식품 제조업
300,071840,-0.8818859345148039,가전제품 및 정보통신장비 소매업
301,035150,-4.771755250219399,플라스틱제품 제조업
302,002760,-0.9397593174578928,기타 화학제품 제조업
303,003960,-1.6228483041710458,수산물 가공 및 저장 처리업
304,008040,-0.9731635526656995,"곡물가공품, 전분 및 전분제품 제조업"
305,003230,3.0901204874298216,기타 식품 제조업
306,005500,-3.219141790777935,의약품 제조업
307,021050,-1.2222289656485137,금속 주조업
308,004360,0.1590603164805269,도로 화물 운송업
309,058650,-1.7027594599233107,1차 철강 제조업
310,067830,-1.768293456477323,종합 소매업
311,012600,-7.000343162846973,일반 목적용 기계 제조업
312,006880,2.5191476561969854,산업용 농·축산물 및 동·식물 도매업
313,002700,-4.394164779316172,기계장비 및 관련 물품 도매업
314,019170,0.05237449849550232,의약품 제조업
315,004770,3.2234391195658807,반도체 제조업
316,122900,0.4806851009559985,상품 종합 도매업
317,003560,-14.4825530824996,"영화, 비디오물, 방송프로그램 제작 및 배급업"
318,036570,-5.260150752848944,소프트웨어 개발 및 공급업
319,014440,-1.667321435276225,플라스틱제품 제조업
320,003520,0.20936303134378506,의약품 제조업
321,000670,-0.362577751662282,1차 비철금속 제조업
322,033660,-0.16917521386927287,기타 금융업
323,047400,-0.14980182163250674,"내화, 비내화 요업제품 제조업"
324,000220,0.604051782587208,의약품 제조업
325,139480,-1.2793942818964927,종합 소매업
326,005950,-2.9121199173292,기초 화학물질 제조업
327,015020,2.738550983392052,부동산 임대 및 공급업
328,034590,-0.6087392130029751,연료용 가스 제조 및 배관공급업
329,008500,-3.5122782840766744,편조원단 제조업
330,013870,-1.5395624828819185,자동차 신품 부품 제조업
331,011000,26.419149305908764,의약품 제조업
332,109070,0.7937997052727432,"골판지, 종이 상자 및 종이용기 제조업"
333,281820,4.504897396131909,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
334,007810,0.6562724487355832,전자부품 제조업
335,005420,-1.40604053893886,기타 화학제품 제조업
336,071950,-1.0150458884182316,가구 제조업
337,002020,2.4041505489465886,기타 금융업
338,138490,-1.9871879939641173,합성고무 및 플라스틱 물질 제조업
339,192400,7.266144260375839,기타 금융업
340,015590,2.4344684721527803,일반 목적용 기계 제조업
341,084870,-1.4827512454838865,봉제의복 제조업
342,003670,-5.845804127076986,"내화, 비내화 요업제품 제조업"
343,071050,0.033674024421835334,기타 금융업
344,006200,-1.2927657513776878,기타 금융업
345,000970,-0.4802998261391141,1차 철강 제조업
346,161390,-0.8248347002685147,고무제품 제조업
347,034830,-29.059476814502954,신탁업 및 집합투자업
348,010100,1.9108874539728982,자동차 신품 부품 제조업
349,018880,-2.9257301900341304,일반 목적용 기계 제조업
350,009420,2.2042015362387017,의약품 제조업
351,101530,1.1422622469040458,기타 식품 제조업
352,322000,4.978156580859808,반도체 제조업
353,227840,-0.9411728691415957,음·식료품 및 담배 도매업
354,008770,-4.1678492170561405,기타 상품 전문 소매업
355,006060,-1.2424727231470512,플라스틱제품 제조업
356,000850,-2.2089571792199982,특수 목적용 기계 제조업
357,016580,-0.9596938482705696,의약품 제조업
358,004800,2.0057626024658166,기타 금융업
359,298000,-0.7781752687413782,기초 화학물질 제조업
360,003280,-0.3316941417186621,해상 운송업
361,054620,-7.5543959741143425,기타 금융업
362,058820,-0.40998091992475616,의약품 제조업
363,065770,-2.4344678950286953,통신 및 방송 장비 제조업
364,037370,-0.46408934696808607,기타 전문 도매업
365,036640,2.076541044769868,합성고무 및 플라스틱 물질 제조업
366,036030,1.565917923987694,상품 중개업
367,104200,5.433825572915342,소프트웨어 개발 및 공급업
368,030190,0.5790482204430832,기타 정보 서비스업
369,024940,-1.4553195317980498,기타 금속 가공제품 제조업
370,048550,1.2385637630257134,광고업
371,317240,-6.941759220842109,기타 화학제품 제조업
372,192410,-7.369165364018255,통신 및 방송 장비 제조업
373,094480,0.2935447542925751,소프트웨어 개발 및 공급업
374,223310,17.309865573023476,소프트웨어 개발 및 공급업
375,098460,-8.18370542956442,특수 목적용 기계 제조업
376,006050,-1.6810993086266004,유리 및 유리제품 제조업
377,039860,1.1734929591291015,의료용 기기 제조업
378,138610,-0.5840268331638814,의료용품 및 기타 의약 관련제품 제조업
379,091590,-0.940026376090976,건물 건설업
380,092730,4.32837493657038,기타 화학제품 제조업
381,348210,15.73496192111951,특수 목적용 기계 제조업
382,217270,-4.545970769851369,소프트웨어 개발 및 공급업
383,040160,-0.007503983065925529,소프트웨어 개발 및 공급업
384,126870,-8.155014295806913,일반 목적용 기계 제조업
385,144960,-11.503156894873085,특수 목적용 기계 제조업
386,104040,-1.0361528793976396,자동차 신품 부품 제조업
387,045390,1.0251653849226805,기타 전기장비 제조업
388,006580,1.0014027066843907,"펄프, 종이 및 판지 제조업"
389,078600,0.648226284957896,전자부품 제조업
390,096350,-0.4269409711448959,"구조용 금속제품, 탱크 및 증기발생기 제조업"
391,213420,2.1758275534702918,전자부품 제조업
392,100130,0.8499227793478781,"구조용 금속제품, 탱크 및 증기발생기 제조업"
393,005160,-0.41902160053855625,1차 철강 제조업
394,088130,-3.4193890416432238,특수 목적용 기계 제조업
395,217620,-8.33994212425793,음식점업
396,214680,-1.816981942916253,의료용 기기 제조업
397,134580,2.537875898641776,통신 및 방송 장비 제조업
398,039840,0.5608410222483864,의료용 기기 제조업
399,131180,-1.059369744456158,컴퓨터 및 주변장치 제조업
400,038390,0.20556442723245363,여행사 및 기타 여행보조 서비스업
401,228850,-3.0786697874140523,의료용 기기 제조업
402,215100,-17.94194756554307,기타 전기장비 제조업
403,085370,3.7661720213686363,의료용 기기 제조업
404,016100,-7.122148072025486,기타 화학제품 제조업
405,029480,-12.242131286854637,통신 및 방송 장비 제조업
406,005990,0.5708257145629485,낙농제품 및 식용빙과류 제조업
407,100590,-2.549643734336241,통신 및 방송 장비 제조업
408,014100,-2.6340923036575674,기타 화학제품 제조업
409,065650,-3.7905672689243204,기계장비 및 관련 물품 도매업
410,059210,0.7149991902789574,의료용품 및 기타 의약 관련제품 제조업
411,058110,17.808243561613335,의료용 기기 제조업
412,096640,17.520997529446568,전자부품 제조업
413,001810,0.05302232852064498,"펄프, 종이 및 판지 제조업"
414,100790,-0.9322712763784211,기타 금융업
415,208710,-5.847656774107819,전자부품 제조업
416,008470,1.9126429346933438,"구조용 금속제품, 탱크 및 증기발생기 제조업"
417,032850,2.4777757718268214,소프트웨어 개발 및 공급업
418,143240,5.584851920938948,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
419,014970,-1.2210774912824796,"골판지, 종이 상자 및 종이용기 제조업"
420,225190,-15.491402270984388,사진장비 및 광학기기 제조업
421,032280,-1.5755576706898964,도로 화물 운송업
422,002290,2.279932188083601,건물 건설업
423,037460,-1.0875012895188112,통신 및 방송 장비 제조업
424,032750,5.103474065858499,통신 및 방송 장비 제조업
425,038500,-0.018934165657751755,기타 비금속 광물제품 제조업
426,046390,1.6961297042901948,"영화, 비디오물, 방송프로그램 제작 및 배급업"
427,091580,2.0892847480948973,일차전지 및 축전지 제조업
428,065710,-5.337301215307384,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
429,148150,-1.353101922728463,전자부품 제조업
430,017510,-2.6569959953763496,기타 금속 가공제품 제조업
431,108860,0.5190544793831539,소프트웨어 개발 및 공급업
432,066910,4.6848222651367895,기타 전문 도매업
433,154040,1.1995017052359878,전자부품 제조업
434,236200,-1.3177155949165194,통신 및 방송 장비 제조업
435,253450,-1.176496793103982,"영화, 비디오물, 방송프로그램 제작 및 배급업"
436,049830,-0.9530101439323942,기타 금속 가공제품 제조업
437,269620,-15.49317221786858,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
438,025870,-0.16352604559971737,음·식료품 및 담배 도매업
439,352700,29.421163092353016,기타 섬유제품 제조업
440,013990,0.8457260416288743,생활용품 도매업
441,050320,21.197457532553372,기계장비 및 관련 물품 도매업
442,052710,-5.406666228833345,전자부품 제조업
443,092040,-0.15511227476839182,기타 식품 제조업
444,038880,3.9953608641862135,전자부품 제조업
445,262840,-5.564488048183702,소프트웨어 개발 및 공급업
446,290740,-10.33531090233404,전자부품 제조업
447,129890,0.7707500233395377,컴퓨터 및 주변장치 제조업
448,275630,-16.92318071693969,소프트웨어 개발 및 공급업
449,306040,1.0182906662537132,"가죽, 가방 및 유사제품 제조업"
450,237690,-9.70877917306713,의약품 제조업
451,102210,0.16901163980389258,선박 및 보트 건조업
452,073540,3.7650620051875627,통신 및 방송 장비 제조업
453,036810,0.597680868909879,전자부품 제조업
454,323230,-2.5912966136479807,편조의복 제조업
455,007530,2.2309420682132077,기타 금속 가공제품 제조업
456,036000,-15.835530476793739,"서적, 잡지 및 기타 인쇄물 출판업"
457,052420,1.7457451378278586,플라스틱제품 제조업
458,241790,-1.7985498145846668,특수 목적용 기계 제조업
459,321820,-16.186976788432272,소프트웨어 개발 및 공급업
460,019210,-3.4965339828421866,기타 금속 가공제품 제조업
461,046970,2.1253914377814995,기타 전문 도매업
462,073560,-2.409511540281906,"도축, 육류 가공 및 저장 처리업"
463,101170,0.6153346021391151,일반 목적용 기계 제조업
464,066590,-1.7091394257418808,자동차 신품 부품 제조업
465,012620,-1.2005347257139165,1차 철강 제조업
466,192390,-8.082870107390955,"구조용 금속제품, 탱크 및 증기발생기 제조업"
467,313760,-2.591869308291148,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
468,086390,-13.19137239270214,특수 목적용 기계 제조업
469,206650,5.686033238096069,의약품 제조업
470,191410,-12.855982475882294,전자부품 제조업
471,067920,2.969181409142043,기타 정보 서비스업
472,044960,1.2198629871619622,기타 전문 도매업
473,088390,14.05276225774683,그외 기타 운송장비 제조업
474,264850,-1.7195886315334454,전자부품 제조업
475,066980,-0.7504264167834834,기타 정보 서비스업
476,099750,-10.990602309901863,소프트웨어 개발 및 공급업
477,041830,-6.761684741398296,의료용 기기 제조업
478,060150,1.4055656602925057,폐기물 처리업
479,115310,-42.55798719428658,전기 통신업
480,039290,-1.891614925674992,기타 정보 서비스업
481,049550,2.993136437777503,기타 화학제품 제조업
482,110020,35.84696063992609,기타 화학제품 제조업
