,회사이름,회사코드,옥수치20/03,옥수치20/06,옥수치20/09,옥수치20/12,업종
0,DSR,155660,1.5594541910331383,1.8286814244465832,1.1428571428571428,1.3248282630029442,1차 비철금속 제조업
1,GS글로벌,1250,1.7070822025737546,1.398533007334963,0.7845631891433419,-1.0854982314916453,상품 종합 도매업
2,HDC현대산업개발,294870,4.282595134123518,4.288084771913481,4.328100009792082,4.44755318587341,건물 건설업
3,KEC,92220,0.0,-0.5509641873278237,0.09220839096357768,-0.6292352371732818,반도체 제조업
4,KG동부제철,16380,1.259213759213759,1.2737694477299608,1.5478038535293581,0.9641084383352424,1차 철강 제조업
5,KG케미칼,1390,1.6421974566993236,1.8901341385517685,2.00342614906652,1.3914631110127529,기초 화학물질 제조업
6,KTis,58860,3.2322227747389363,2.0463112547119007,1.7647058823529411,-2.4744486282947817,기타 정보 서비스업
7,LG이노텍,11070,2.685817714719449,0.8623115577889447,1.5731404740537402,7.766935209349826,전자부품 제조업
8,LG전자,66570,3.0349081233335005,1.4265557059348632,2.508881807859942,1.738000791215371,통신 및 방송 장비 제조업
9,LG헬로비전,37560,0.4575402635431918,0.5830367006259973,,0.0,텔레비전 방송업
10,OCI,10060,-2.401447589504976,-1.2032158183497204,0.4837373386428629,0.9157255043427588,기초 화학물질 제조업
11,SK이노베이션,96770,-6.199796040959447,-1.553095594676312,-0.0974366408970914,-1.1193489929648794,석유 정제품 제조업
12,STX,11810,0.07040600797934758,0.9440993788819876,0.7147719537100068,-1.2188466436237948,상품 종합 도매업
13,WISCOM,24070,0.2169197396963124,-1.4705882352941175,0.22075055187637968,-0.9080590238365494,플라스틱제품 제조업
14,갤럭시아에스엠,11420,-1.8867924528301887,2.586206896551724,6.722689075630252,4.504504504504505,스포츠 서비스업
15,경농,2100,6.819984139571768,0.8658008658008658,-1.551814834297738,-2.6946107784431144,"비료, 농약 및 살균, 살충제 제조업"
16,경동인베스트,12320,1.1293634496919918,1.395032323919701,-0.4207573632538569,5.017301038062284,기타 금융업
17,국도화학,7690,1.1407738445254616,1.89741706451218,1.2152342771235278,1.435713370080759,기초 화학물질 제조업
18,국동,5320,-3.2490974729241877,16.806181584030906,10.57866184448463,-2.8142589118198877,생활용품 도매업
19,극동유화,14530,1.9031141868512111,1.7599277978339352,1.3668430335097002,1.2123745819397993,석유 정제품 제조업
20,기아,270,1.4178357033039242,0.4712159122993194,0.6426210511068094,4.220384695177973,자동차용 엔진 및 자동차 제조업
21,까뮤이앤씨,13700,1.5761821366024518,1.2927756653992395,1.45985401459854,-2.3622047244094486,건물 건설업
22,대덕전자,353200,,0.8894198858356563,1.2577800829875518,-0.5792251254987772,전자부품 제조업
23,대웅,3090,1.8433532201315588,1.50206241730874,2.1001239925604462,2.1602513747054197,기타 금융업
24,덴티움,145720,0.6349206349206349,1.363354678785375,2.6909722222222223,3.8858939802336026,의료용 기기 제조업
25,두산인프라코어,42670,1.75627553149167,1.5745058623047177,1.8433227960726024,1.6217169046359952,특수 목적용 기계 제조업
26,두산중공업,34020,0.2442134382226449,-0.2246849720148837,0.7733154379343424,-0.11627793357500905,일반 목적용 기계 제조업
27,디피씨,26890,6.759443339960238,4.1965199590583415,7.469654528478057,12.552742616033756,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
28,락앤락,115390,0.1328462304882099,0.7667944657442907,1.5519999999999998,2.3813602878190854,플라스틱제품 제조업
29,롯데정보통신,286940,1.3959981386691485,2.7867342238599724,2.4085435128379915,1.786033220217896,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
30,마니커,27740,-7.574704656011119,-6.1805555555555545,-3.8654259126700072,-4.0028591851322375,"도축, 육류 가공 및 저장 처리업"
31,메리츠증권,8560,0.36734465915899145,0.5457972626470922,0.5061819384749353,0.6010826601286577,금융 지원 서비스업
32,명문제약,17180,-1.6148566814695196,-4.682967260671363,-1.9532908704883227,-4.091726618705036,의약품 제조업
33,모두투어리츠,204210,25.0,30.0,33.33333333333333,34.615384615384606,부동산 임대 및 공급업
34,부국증권,1270,0.3613811755379917,0.3729365439951537,0.5196126122142131,1.1813274055255638,금융 지원 서비스업
35,삼성SDI,6400,0.511770726714432,0.962278319072208,2.4129654027324086,2.2255970783388475,일차전지 및 축전지 제조업
36,삼성엔지니어링,28050,2.557965594614809,2.505914308244984,2.6701165675264744,2.220241245786556,"건축기술, 엔지니어링 및 관련 기술 서비스업"
37,삼성출판사,68290,0.33444816053511706,-0.9013520280420632,-1.134020618556701,-0.6437768240343348,"서적, 잡지 및 기타 인쇄물 출판업"
38,삼성화재해상보험,810,0.28469776145000697,0.4480695727311687,0.31679263734154656,0.15353233570074518,보험업
39,삼영화학공업,3720,0.3875968992248062,1.147227533460803,0.19212295869356388,-0.4739336492890995,플라스틱제품 제조업
40,삼호개발,10960,2.440944881889764,2.973661852166525,2.4284475281873377,3.2761310452418098,기반조성 및 시설물 축조관련 전문공사업
41,상상인증권,1290,0.577046377431075,0.6006628003314002,-0.3545313538666076,-0.2409638554216868,금융 지원 서비스업
42,선도전기,7610,-1.6047297297297296,2.566225165562914,1.5192135835567468,-0.25597269624573377,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
43,선진,136490,2.4207421971000245,3.6563071297989036,2.2052880729707884,4.243683692442306,동물용 사료 및 조제식품 제조업
44,세기상사,2420,-0.4987531172069825,-0.5037783375314862,-1.0152284263959392,-1.0178117048346056,"영화, 비디오물, 방송프로그램 제작 및 배급업"
