,회사코드,주가상승율
0,155660,-4.4734594860010946
1,001250,-2.033808681080011
2,294870,-59.4260126391757
3,001390,-3.938414521996322
4,011070,6.733355424794779
5,066570,-8.096020448202454
6,037560,-5.989542527525034
7,010060,-69.29560269332795
8,100840,-0.5654350867572873
9,064960,-0.5577490249822912
10,096770,-56.24625268183098
11,011810,-33.02081061427355
12,037270,1.3115920304480844
13,011420,-1.5761107918568689
14,010130,-89.25642530410397
15,014530,-0.28022408724322334
16,013700,0.5688817996228183
17,008350,5.150291008609951
18,014160,0.3935573519379539
19,003090,12.958516874864078
20,006650,-181.3722547259903
21,000150,-53.675712789646965
22,241560,-10.153668485462536
23,115390,-9.000417297283834
24,286940,-3.7122101650120265
25,027740,0.06342975913061842
26,204320,-26.21527633456642
27,008560,-0.9208488866500842
28,001270,-4.614382609113455
29,006400,285.18282590975076
30,028050,0.7242591575018242
31,010140,-4.739330961742495
32,068290,15.28667001470519
33,000810,-109.04842364457508
34,000070,-75.80457089878313
35,005680,-6.858104687342903
36,003720,0.2192809902974251
37,001290,-0.7380499620390395
38,007610,-1.6363107996613322
39,004490,-2.820954424857445
40,091090,-0.40443243946806096
41,055550,-21.178676706206318
42,003620,-4.998782363895691
43,011090,-1.5889301313679305
44,012280,-0.03123161931302165
45,008600,-1.5893258329135573
46,033270,17.283594878187454
47,023800,1.658205751330223
48,129260,-1.3766091335355124
49,013360,-0.24231222861535734
50,081000,37.949388703331635
51,271980,4.482383766760922
52,001560,0.5761683211747677
53,002620,-34.612298347093464
54,002600,-149.89207215239097
55,071320,-47.86689017429504
56,088790,-3.5491218516966385
57,120110,-50.79617347415433
58,020120,5.363900645368109
59,015890,-0.004780742245140766
60,004100,-1.3764443881777384
61,058430,-22.843987633357504
62,005430,-11.268293935410824
63,023350,-4.365882203700815
64,009180,-0.5006692263781204
65,002220,-1.1523095046796907
66,006390,5.355400517052054
67,009460,2.202652704049538
68,088350,-7.114217418875844
69,267270,-91.95510913439855
70,012330,-35.87907556004334
71,004560,-6.851422210918039
72,017800,3.0464184949003443
73,001500,-1.5449373755369227
74,057050,-68.58666634126885
75,111110,-11.314215428836187
76,245620,13.63644424200789
77,083450,9.226538403997413
78,028150,-112.77850335560152
79,099520,0.51070233433533
80,067290,-4.061711048514401
81,024120,-1.6696447558264327
82,060720,10.420927249055046
83,051390,-0.5660944622248085
84,223310,-40.346532917993514
85,024910,-2.100151742155784
86,198440,1.2773111412019358
87,215000,19.360735007581393
88,043650,-4.553554049658505
89,204020,-4.881135199948978
90,286750,32.97850601726788
91,056000,0.03231206718753186
92,085910,-1.5987669456317444
93,007390,-2.3814225045387296
94,031390,7.680387650491725
95,012340,-1.8374645637324045
96,085670,-1.4784721250371637
97,078140,-2.813088123195615
98,290380,-15.516764044450378
99,290120,0.7884739806229871
100,003310,-0.8442652129519012
101,023910,-6.239892806839659
102,006620,-15.416010006182013
103,099410,1.2994370999020886
104,196490,-8.67801942802944
105,066900,-1.110908733156373
106,127120,5.547574165599274
107,092070,-4.141874848184757
108,033130,0.20051541235339784
109,060240,-6.161072048543254
110,219420,-9.780446616135949
111,086900,-344.9575746320877
112,021880,-0.5620161979476297
113,327260,-10.581671057160404
114,080160,-20.698406084532508
115,250060,0.28930058916071905
116,118990,-3.1476069649967213
117,028040,-4.148813753345657
118,207760,9.172185019675764
119,206640,2.8941982585369606
120,053030,7.414153000275953
121,337930,-20.066466784669295
122,023600,2.7105559180266976
123,111870,-1.2751518724420208
124,009300,-4.40902073940808
125,042940,-0.4561099478562704
126,100660,2.1650173700153283
127,080470,2.05398724821867
128,011560,-6.674579617156752
129,036630,-0.5439258713257535
130,053450,-11.860276641533499
131,049180,-6.635994388412888
132,208370,-5.5357330024444265
133,068760,85.46813061366852
134,053110,-1.5945224106945048
135,204630,-2.3715919185925842
136,013810,1.8455430603639653
137,049830,-4.720639869393452
138,269620,1.1550397883069186
139,222800,4.838056279332675
140,010280,-0.36977602079902194
141,115480,-1.1096049810271469
142,900120,-1.4187356438866587
143,123860,11.945340411244372
144,149950,0.6437843995386978
145,099190,-0.9868642238187906
146,040910,2.1822653611604403
147,068940,1.5444356527715444
148,078860,-1.7506967263072575
149,114810,-6.114542384527945
150,031310,0.31508277370627985
151,124500,2.3591995366131653
152,260660,-6.631064366644996
153,096610,-2.7825288189978443
154,061040,4.911975186382407
155,310200,-2.1377264408334744
156,102120,1.6181930684417123
157,065420,-0.5257525936812064
158,103230,-3.712441242495989
159,101490,33.005537101516374
160,095910,-3.7076538906076077
161,096630,-1.1093775203236995
162,043340,-0.44456460436899975
163,096690,-30.914245878474336
164,241840,14.53877546256672
165,021080,-0.7757459268391304
166,950130,10.434209517810004
167,070300,-0.44787991244256453
168,092870,-2.0209379897253106
169,048830,-1.4025469497576866
170,058630,-0.4065081852169483
171,019590,0.27335734159132
172,097520,28.01747123184557
173,265560,-1.2532579248590954
174,045060,0.5684931398894132
175,048260,-24.87716677134054
176,049480,-1.1113276192967518
177,109080,1.1728537376197887
178,019210,-10.220656012175981
179,082850,1.2660376320037914
180,074600,4.022929615053108
181,014190,-0.8915286236320424
182,008290,-1.754371802346754
183,095270,-14.264348918999207
184,065950,3.582680472177661
185,036090,-0.7700114130743574
186,203450,-0.4596468569303319
187,241690,0.36240501021126337
188,078070,33.5926598894944
189,054930,3.518919404679604
190,178780,-4.535044519124941
191,047560,-0.25515383753979937
192,900110,-0.8631293381344767
193,087730,-28.994609963045736
194,123570,1.9752165325481084
195,079950,-3.8402452406437644
196,064290,8.84445037193861
