,업종,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/09,회사이름,회사코드
0,특수 목적용 기계 제조업,10.179640718562874,-2.6143790849673203,-11.538461538461535,57.14285714285714,넥스틴,348210.0
0,소프트웨어 개발 및 공급업,10.576923076923077,-29.6875,72.3404255319149,228.57142857142856,플레이위드,23770.0
0,전자부품 제조업,47.49034749034749,49.18733960650128,44.23740510697032,39.11933631142311,리노공업,58470.0
0,자동차 신품 부품 제조업,10.011001100110013,-0.7290400972053462,4.166666666666666,9.684947491248543,현대공업,170030.0
0,기타 금융업,37.80810544341239,33.607041369893345,25.53929025661488,48.97480795300497,LG,3550.0
0,의약품 제조업,32.89817232375979,30.659025787965607,39.89501312335958,36.45569620253165,디에이치피코리아,131030.0
0,기타 화학제품 제조업,61.135371179039296,67.84452296819788,77.70270270270271,49.83713355048861,네오팜,92730.0
0,통신 및 방송 장비 제조업,33.906633906633914,36.542669584245075,26.521739130434785,31.947483588621445,유비쿼스,264450.0
0,금융 지원 서비스업,13.639301874595992,13.329764453961456,6.617038875103392,3.735408560311284,한국전자금융,63570.0
0,반도체 제조업,12.73344651952462,13.425129087779693,21.71875,25.93167701863355,어보브반도체,102120.0
0,1차 철강 제조업,23.259762308998297,10.826210826210826,31.30590339892666,18.7039764359352,디씨엠,24090.0
0,자연과학 및 공학 연구개발업,-4.294478527607362,-6.774193548387097,3.2448377581120944,81.05646630236795,랩지노믹스,84650.0
0,의료용 기기 제조업,26.405867970660147,30.8641975308642,63.761467889908246,46.755162241887895,클래시스,214150.0
0,플라스틱제품 제조업,1.164021164021164,4.05982905982906,18.06060606060606,13.738959764474973,에스폴리텍,50760.0
0,기초 화학물질 제조업,5.828002842928218,5.135951661631419,19.781078967943703,19.378427787934186,동성화학,5190.0
0,일반 목적용 기계 제조업,4.088586030664395,12.159709618874777,22.73092369477912,20.70145423438837,디와이피엔에프,104460.0
0,기타 전문 도매업,4.476199488975111,355.55555555555566,189.78873239436615,242.22222222222214,리드코프,12700.0
0,기초 의약물질 및 생물학적 제제 제조업,24.0,5.084745762711865,1.0416666666666663,117.27941176470587,제놀루션,225220.0
0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",50.0,19.801980198019802,17.808219178082194,30.357142857142854,케이씨티,89150.0
0,"영화, 비디오물, 방송프로그램 제작 및 배급업",12.542759407069555,11.422845691382765,6.3509626023456525,8.552758024216798,스튜디오드래곤,253450.0
0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",41.00946372239748,20.967741935483872,22.55083179297597,17.738359201773836,서호전기,65710.0
0,기타 식품 제조업,33.54430379746836,65.94594594594595,82.00692041522491,57.605177993527505,에이치엘사이언스,239610.0
0,의료용품 및 기타 의약 관련제품 제조업,-13.043478260869565,-21.402214022140214,-15.539305301645337,90.23199023199024,바이오니아,64550.0
0,봉제의복 제조업,10.683229813664596,16.148597422289612,18.67517956903432,14.115646258503402,BYC,1460.0
0,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",27.11111111111111,23.529411764705877,26.90763052208836,23.298429319371728,엠투아이,347890.0
0,기계장비 및 관련 물품 도매업,8.953712144231742,53.40422389602718,70.5184811404062,74.6610845295056,다우데이타,32190.0
0,기타 금속 가공제품 제조업,61.24567474048442,43.31210191082803,46.84385382059802,32.11920529801324,조선선재,120030.0
0,건물 건설업,22.085735773376783,21.874177415109237,25.881322531202105,24.509990485252146,서희건설,35890.0
0,"구조용 금속제품, 탱크 및 증기발생기 제조업",2.843137254901962,3.2494758909853245,9.50770387072529,23.71987951807229,한국카본,17960.0
0,생활용품 도매업,-6.020408163265308,4.75396163469558,-4.187437686939183,30.922242314647374,국동,5320.0
0,"시멘트, 석회, 플라스터 및 그 제품 제조업",14.149987332151001,16.90340909090909,17.048481619605756,12.981798715203428,유진기업,23410.0
0,기타 정보 서비스업,163.41463414634148,161.05263157894737,139.16666666666666,131.53846153846158,이크레더블,92130.0
0,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",8.845432627913207,70.22751895991333,103.71959942775392,102.96062086806556,다우기술,23590.0
0,1차 비철금속 제조업,19.58844133099825,16.7656924864616,16.06295129054135,10.90540981075099,고려아연,10130.0
0,토목 건설업,71.71717171717171,29.16666666666667,15.18987341772152,11.73913043478261,이엑스티,226360.0
0,영상 및 음향기기 제조업,6.978391781792419,13.110047846889955,27.57191613846904,8.720821661998132,엠씨넥스,97520.0
0,부동산 임대 및 공급업,,,,inf,미래에셋맵스리츠,357250.0
0,신탁업 및 집합투자업,191.2844036697248,220.9935897435897,134.23529411764704,54.432548179871524,한국자산신탁,123890.0
0,"건축기술, 엔지니어링 및 관련 기술 서비스업",19.358178053830226,16.819221967963387,16.068759342301945,22.792262405382672,한전산업,130660.0
0,종합 소매업,3.8294797687861273,24.09408773045137,14.325269600699508,8.292427514889718,BGF리테일,282330.0
0,컴퓨터 및 주변장치 제조업,19.266055045871557,14.453125,18.410041841004183,22.71186440677966,에이텍,45660.0
0,상품 종합 도매업,11.749821579186401,11.744770363445133,12.82452636692395,10.734606787238366,영원무역,111770.0
0,선박 및 보트 건조업,15.602836879432626,13.247470101195953,14.485165794066319,15.451388888888893,케이프,64820.0
0,전기 통신업,215.5172413793104,150.0,97.93814432989693,84.21052631578947,인포바인,115310.0
0,텔레비전 방송업,56.52173913043478,105.44217687074831,66.18357487922705,65.88785046728971,한국경제TV,39340.0
