,회사코드,상승율
0,155660,-1.0193775655830253
1,001250,0.8020190821767522
2,294870,7.02245898576849
3,001390,-1.7007942348645666
4,011070,1.3747286938976244
5,066570,-0.4171271653681433
6,037560,-1.180405642982029
7,010060,-5.240598250126475
8,100840,-1.251211437393409
9,064960,1.1365922324873639
10,096770,-3.8710898924614816
11,011810,-4.7936387942800005
12,011420,2.9146039603960436
13,010130,-1.7627450202284498
14,014530,0.15664543297986838
15,013700,1.446379655653306
16,008350,-2.070025009437856
17,014160,4.026670061582779
18,003090,0.6824805652764467
19,006650,-4.651301151236635
20,000150,0.13435577272233434
21,241560,0.3004093180799441
22,115390,-2.87961107913545
23,286940,4.067007408663025
24,027740,-6.701428475622023
25,204320,1.6016896239095053
26,008560,-0.025310573591749024
27,001270,-0.5053677916913317
28,006400,1.302257340939366
29,028050,5.030532388468598
30,010140,-0.3762775811365166
31,068290,-2.347116305051295
32,000810,-0.32392660852142185
33,000070,-0.6302911095319168
34,005680,-0.8919337877029107
35,003720,6.300617896943613
36,001290,-0.08576393701291082
37,007610,-1.5725362273869734
38,004490,2.1476587703255428
39,091090,-0.3376386114715289
40,055550,0.011598688030252982
41,003620,-5.90372800442018
42,011090,-2.539871122315322
43,012280,-1.6246341409740093
44,008600,-5.063292002266817
45,033270,-0.395673146509834
46,023800,-0.08794342761794077
47,129260,-0.7038823546727321
48,013360,-2.268381673975632
49,081000,-0.31293284313986364
50,271980,-0.5816979567888109
51,001560,-0.06869094988518652
52,002620,-6.4933450803939445
53,002600,-1.929667124709048
54,071320,-0.7023421605794765
55,088790,-5.643305863389732
56,120110,-0.2652228229782672
57,020120,3.8671874999999987
58,015890,-1.1912204310020187
59,004100,-3.826992870447885
60,058430,-1.9400163993368134
61,005430,-1.3242993532491532
62,023350,1.7227809182186493
63,009180,1.9094034632969719
64,002220,-3.7671166030302485
65,006390,0.9468731202467308
66,009460,-2.77728993482418
67,088350,-0.368669837839632
68,267270,0.6992009342053831
69,012330,0.19818072823539087
70,004560,0.46448733152078414
71,017800,0.2912609744007842
72,001500,0.2312352733894762
73,057050,-20.834888762569744
74,111110,0.438807258066015
75,245620,46.25225225225224
76,083450,-3.734690236162265
77,028150,-4.499684548047239
78,099520,-8.237585582749665
79,067290,2.061687020167866
80,024120,-1.8144832142057845
81,060720,7.544656324803037
82,051390,-0.9475372472882292
83,223310,34.80576441102755
84,024910,-0.25720094825757783
85,198440,-2.1022727272727266
86,215000,-8.858843905196581
87,043650,0.12077571449062435
88,204020,-7.116948092557844
89,286750,2.6120269328999295
90,056000,-32.5050709939148
91,085910,-0.12677303698201584
92,007390,3.9392518752467423
93,031390,-0.11105765111420089
94,012340,2.3541274211466927
95,085670,-7.055043453532808
96,078140,-3.0056511947136673
97,290380,-6.7418944691672005
98,290120,-0.12790697674418747
99,003310,-0.8146067415730336
100,023910,-0.8365182460703886
101,006620,-6.50252525252525
102,099410,-1.0600706713780907
103,196490,-2.67371744652565
104,066900,-1.4794678414829996
105,127120,-20.595845346344344
106,092070,-7.383681281935551
107,033130,-5.7870370370370345
108,060240,-5.103385561898131
109,219420,-24.39458689458688
110,086900,-11.685385898867882
111,021880,-9.173792572315902
112,327260,-2.0129504504504516
113,080160,-8.381285933067208
114,250060,17.84077892325314
115,118990,-9.864640992008018
116,028040,-4.6008869179600875
117,207760,14.455939057650712
118,206640,8.326720962960742
119,053030,6.76808219264532
120,337930,-57.476347182229524
121,023600,3.8942822357940403
122,111870,-10.903331877026371
123,009300,1.3378706442345403
124,042940,11.460502143294544
125,100660,-1.3879994307467878
126,080470,-0.7378346088023506
127,011560,-8.12114954909343
128,036630,-2.5970091287273167
129,053450,-0.08057675548258487
130,049180,-13.426230707336694
131,208370,-5.241360779457459
132,068760,0.6738317482907363
133,053110,-9.185716130698692
134,204630,-8.419044554512336
135,013810,5.502902971464069
136,049830,-1.7464860657721883
137,269620,-19.345661450924606
138,222800,-3.4510139210363313
139,010280,10.646448523543492
140,115480,2.6526344354658065
141,900120,-1.8170568824638513
142,123860,-32.249485674143195
143,149950,-10.214150997863781
144,099190,1.4324162178616349
145,040910,-4.548967962172968
146,068940,17.45119503740193
147,078860,0.8142805866493052
148,114810,-2.181742458721153
149,031310,-5.742139500682118
150,124500,2.5825741893078935
151,260660,0.37981165346085227
152,096610,-0.5362838915470493
153,061040,-1.0421165442999498
154,102120,4.492651740237688
155,065420,60.539215686274495
156,103230,2.2506482883447325
157,101490,3.8247678426379212
158,095910,-1.3962829270468855
159,096630,-13.1127105173861
160,043340,-0.11600098115367352
161,096690,0.8994003997335123
162,241840,10.64371624938635
163,021080,-3.5268521699301476
164,950130,-2.1290238264435133
165,070300,18.48232250646737
166,092870,-11.8899338209683
167,048830,-2.109142785832595
168,058630,2.9514018691588766
169,019590,20.40817067503194
170,097520,10.296762178338307
171,265560,-11.78263899258374
172,045060,0.07680327802279145
173,048260,0.8144577784377838
174,049480,0.5648356850999886
175,109080,-2.4694317909374255
176,019210,-3.337027568100433
177,082850,2.724645545960375
178,074600,-4.312040146398517
179,014190,-2.561115230495567
180,008290,-2.255487294857373
181,095270,-22.552550829593358
182,065950,-0.43858593540664875
183,036090,-7.290471913217717
184,203450,1.2499999999999996
185,241690,-2.880809184338199
186,078070,5.288828421888365
187,054930,-5.984495429288401
188,178780,-13.124837773069423
189,047560,-0.8228958915037895
190,900110,1.114205621086355
191,087730,-4.824651353568496
192,123570,2.419206588477518
193,079950,-2.3648584003061597
194,064290,6.39894667544437
195,254120,-2.3946203050680652
196,234920,-20.077523088007986
197,174880,-4.475219263822055
198,040420,-0.9948252805395652
199,079370,-3.3776664941659487
200,094970,-6.081081081081079
201,023440,-2.8758762730759773
202,080220,-3.3719912990022207
203,082270,-11.084606883911484
204,034940,-0.5824403877194396
205,036930,-3.4264476028413533
206,119850,0.15687977017408494
207,065060,-7.399244244033318
208,071850,-1.711867162309341
209,042040,-4.400590966652592
210,054410,-0.20676691729323307
211,274090,-0.7895431740163722
212,078650,9.359520123839005
213,126600,-0.40534166138030836
214,043590,-7.257915200888721
215,139670,55.17368810051737
216,026150,-0.12163458278030216
217,246710,92.33766233766228
218,131290,-2.44314985079729
219,033540,-24.209986427180986
220,037070,3.5381094877662367
221,065690,-2.2967024464056185
222,225590,-1.2381213450292399
223,005670,1.8912337662337653
224,203690,4.8038480759620175
